Origin,1,2,3,6,4,12,5,11,9,8,7,18,16,10,15,17,14,13,24,23,19,22,20,21
1,0.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,10.0,8.0,12.0,12.0,10.0,10.0,13.0,11.0,12.0,9.0,13.0,14.0,13.0,15.0,15.0,14.0
2,3.0,0.0,6.0,4.0,7.0,8.0,6.0,11.0,8.0,6.0,10.0,10.0,8.0,10.0,12.0,9.0,15.0,12.0,16.0,17.0,11.0,15.0,13.0,17.0
3,2.0,4.0,0.0,5.0,1.0,2.0,4.0,5.0,8.0,7.0,11.0,11.0,9.0,7.0,10.0,10.0,9.0,6.0,10.0,11.0,11.0,12.0,14.0,11.0
6,7.0,4.0,5.0,0.0,4.0,7.0,2.0,8.0,4.0,2.0,6.0,6.0,4.0,6.0,8.0,5.0,12.0,11.0,14.0,13.0,7.0,11.0,9.0,13.0
4,3.0,5.0,1.0,4.0,0.0,3.0,3.0,4.0,7.0,6.0,10.0,10.0,8.0,6.0,9.0,9.0,8.0,7.0,11.0,10.0,10.0,11.0,13.0,12.0
12,3.0,5.0,1.0,6.0,2.0,0.0,5.0,4.0,9.0,8.0,12.0,11.0,9.0,6.0,9.0,9.0,8.0,4.0,8.0,10.0,10.0,11.0,12.0,9.0
5,5.0,5.0,3.0,1.0,2.0,5.0,0.0,6.0,4.0,3.0,7.0,7.0,5.0,6.0,9.0,6.0,10.0,9.0,13.0,12.0,8.0,12.0,10.0,14.0
11,7.0,9.0,5.0,7.0,4.0,4.0,7.0,0.0,5.0,6.0,10.0,7.0,5.0,2.0,5.0,5.0,4.0,8.0,8.0,6.0,6.0,7.0,9.0,9.0
9,10.0,8.0,8.0,4.0,7.0,9.0,5.0,5.0,0.0,3.0,7.0,7.0,5.0,2.0,5.0,5.0,9.0,13.0,12.0,10.0,6.0,8.0,9.0,12.0
8,8.0,5.0,6.0,1.0,5.0,8.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,4.0,6.0,3.0,10.0,12.0,12.0,11.0,5.0,9.0,7.0,11.0
7,11.0,8.0,9.0,4.0,8.0,11.0,6.0,10.0,5.0,3.0,0.0,2.0,5.0,7.0,9.0,6.0,13.0,14.0,10.0,10.0,8.0,8.0,5.0,9.0
18,12.0,9.0,10.0,5.0,9.0,12.0,7.0,8.0,6.0,4.0,3.0,0.0,3.0,5.0,7.0,4.0,11.0,12.0,8.0,8.0,6.0,6.0,3.0,7.0
16,9.0,6.0,7.0,2.0,6.0,9.0,4.0,5.0,3.0,1.0,5.0,2.0,0.0,2.0,4.0,1.0,8.0,13.0,10.0,9.0,3.0,7.0,5.0,9.0
10,10.0,9.0,8.0,5.0,7.0,7.0,7.0,3.0,3.0,4.0,8.0,5.0,3.0,0.0,3.0,3.0,7.0,11.0,10.0,8.0,4.0,6.0,7.0,10.0
15,12.0,11.0,10.0,7.0,9.0,9.0,9.0,5.0,5.0,6.0,9.0,6.0,5.0,2.0,0.0,4.0,4.0,11.0,7.0,5.0,1.0,3.0,4.0,7.0
17,10.0,7.0,8.0,3.0,7.0,10.0,5.0,6.0,4.0,2.0,6.0,3.0,1.0,3.0,3.0,0.0,7.0,14.0,10.0,8.0,2.0,6.0,5.0,9.0
14,11.0,13.0,9.0,10.0,8.0,8.0,11.0,4.0,8.0,9.0,10.0,7.0,8.0,5.0,3.0,7.0,0.0,8.0,4.0,2.0,4.0,3.0,5.0,5.0
13,7.0,9.0,5.0,10.0,6.0,4.0,9.0,8.0,13.0,12.0,13.0,10.0,13.0,10.0,12.0,13.0,10.0,0.0,4.0,7.0,12.0,8.0,8.0,5.0
24,11.0,13.0,9.0,11.0,10.0,8.0,13.0,10.0,12.0,10.0,9.0,6.0,9.0,10.0,8.0,10.0,6.0,4.0,0.0,3.0,8.0,4.0,4.0,1.0
23,13.0,14.0,11.0,10.0,11.0,10.0,12.0,7.0,10.0,9.0,8.0,5.0,8.0,7.0,5.0,9.0,3.0,6.0,2.0,0.0,6.0,1.0,3.0,3.0
19,13.0,10.0,11.0,6.0,10.0,10.0,8.0,6.0,6.0,5.0,8.0,5.0,4.0,3.0,1.0,3.0,5.0,12.0,8.0,6.0,0.0,4.0,3.0,7.0
22,15.0,13.0,13.0,9.0,13.0,12.0,11.0,9.0,9.0,8.0,7.0,4.0,7.0,6.0,4.0,8.0,5.0,8.0,4.0,2.0,5.0,0.0,2.0,4.0
20,14.0,11.0,12.0,7.0,11.0,13.0,9.0,10.0,8.0,6.0,5.0,2.0,5.0,7.0,5.0,6.0,8.0,9.0,5.0,5.0,4.0,3.0,0.0,4.0
21,12.0,14.0,10.0,10.0,11.0,9.0,12.0,11.0,11.0,9.0,8.0,5.0,8.0,9.0,7.0,9.0,7.0,5.0,1.0,4.0,7.0,3.0,3.0,0.0
