Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Served,5,29,22.0,10,13
2,Served,7,14,5.0,6,22
3,Served,4,19,16.0,17,8
4,Served,6,14,10.0,24,7
5,Served,4,13,7.0,11,8
6,Served,5,2,0.0,22,20
7,Served,6,34,30.0,14,3
8,Served,4,36,30.0,24,17
9,Served,6,5,0.0,18,2
10,Served,4,5,0.0,21,10
11,Served,7,75,71.0,23,18
12,Served,4,6,0.0,9,19
13,Served,9,12,6.0,6,17
14,Served,11,1,0.0,20,21
15,Served,11,10,5.0,24,11
16,Served,13,17,13.0,12,1
17,Canceled,10,0,-8.0,22,5
18,Served,13,5,0.0,20,9
19,Served,10,41,37.0,10,22
20,Canceled,10,0,-8.0,8,12
21,Served,13,5,0.0,23,19
22,Served,13,10,2.0,24,2
23,Served,7,28,23.0,17,2
24,Canceled,10,0,-2.0,16,17
25,Canceled,10,0,-3.0,19,16
26,Served,10,9,0.0,5,23
27,Served,10,23,20.0,22,10
28,Served,13,7,0.0,21,4
29,Served,10,5,0.0,24,11
30,Served,10,20,14.0,12,2
31,Canceled,10,0,-4.0,22,13
32,Canceled,10,0,-2.0,12,3
33,Canceled,10,0,-9.0,5,24
34,Canceled,10,0,-4.0,15,16
35,Served,15,18,13.0,10,18
36,Canceled,16,0,-4.0,21,15
37,Canceled,10,0,-8.0,21,5
38,Served,11,41,34.0,24,6
39,Canceled,10,0,-3.0,19,15
40,Canceled,10,0,-3.0,24,12
41,Canceled,10,0,-5.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Served,10,30,28.0,23,24
44,Served,12,7,0.0,9,22
45,Served,13,6,0.0,7,13
46,Served,14,30,28.0,18,21
47,Canceled,10,0,-8.0,7,3
48,Served,16,18,14.0,22,17
49,Canceled,10,0,-6.0,9,1
50,Canceled,10,0,-4.0,10,8
51,Canceled,10,0,-3.0,14,4
52,Canceled,10,0,-3.0,19,15
53,Canceled,10,0,-6.0,14,13
54,Canceled,16,0,-8.0,10,1
55,Canceled,16,0,-5.0,16,1
56,Served,10,25,19.0,23,4
57,Served,12,5,0.0,8,21
58,Served,10,4,0.0,22,19
59,Canceled,10,0,-4.0,23,18
60,Canceled,10,0,-6.0,6,20
61,Canceled,10,0,-5.0,24,19
62,Canceled,10,0,-5.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Canceled,10,0,-6.0,24,8
65,Canceled,10,0,-3.0,23,21
66,Served,15,9,4.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
69,Served,11,21,17.0,17,15
70,Canceled,10,0,-7.0,9,21
71,Canceled,10,0,-4.0,22,19
72,Canceled,10,0,-3.0,17,20
73,Served,16,8,0.0,3,18
74,Served,15,1,0.0,6,2
75,Served,11,6,0.0,16,4
76,Served,13,11,7.0,14,17
77,Canceled,10,0,-4.0,23,11
78,Canceled,10,0,-4.0,12,1
79,Canceled,10,0,-7.0,11,24
80,Canceled,10,0,-3.0,9,7
