Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Served,5,17,10.0,10,13
2,Served,4,9,0.0,6,22
3,Served,5,41,38.0,17,8
4,Served,6,38,34.0,24,7
5,Served,4,13,7.0,11,8
6,Canceled,7,0,-2.0,22,20
7,Served,6,19,15.0,14,3
8,Served,4,72,66.0,24,17
9,Served,6,5,0.0,18,2
10,Served,5,5,0.0,21,10
11,Served,7,71,67.0,23,18
12,Served,4,6,0.0,9,19
13,Served,8,10,4.0,6,17
14,Served,8,3,2.0,20,21
15,Served,9,20,15.0,24,11
16,Served,12,32,28.0,12,1
17,Canceled,10,0,-8.0,22,5
18,Served,8,5,0.0,20,9
19,Served,9,22,18.0,10,22
20,Canceled,15,0,-8.0,8,12
21,Served,13,5,0.0,23,19
22,Canceled,14,0,-8.0,24,2
23,Served,7,5,0.0,17,2
24,Canceled,10,0,-2.0,16,17
25,Canceled,10,0,-3.0,19,16
26,Served,9,10,1.0,5,23
27,Canceled,15,0,-3.0,22,10
28,Served,12,7,0.0,21,4
29,Canceled,12,0,-5.0,24,11
30,Served,13,33,27.0,12,2
31,Canceled,10,0,-4.0,22,13
32,Canceled,10,0,-2.0,12,3
33,Served,10,9,0.0,5,24
34,Canceled,10,0,-4.0,15,16
35,Served,12,37,32.0,10,18
36,Canceled,16,0,-4.0,21,15
37,Canceled,10,0,-8.0,21,5
38,Served,11,36,29.0,24,6
39,Canceled,10,0,-3.0,19,15
40,Canceled,10,0,-3.0,24,12
41,Served,16,5,0.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Canceled,10,0,-2.0,23,24
44,Canceled,10,0,-7.0,9,22
45,Canceled,10,0,-6.0,7,13
46,Served,11,9,7.0,18,21
47,Served,9,8,0.0,7,3
48,Canceled,10,0,-4.0,22,17
49,Served,10,6,0.0,9,1
50,Served,12,26,22.0,10,8
51,Served,11,3,0.0,14,4
52,Canceled,10,0,-3.0,19,15
53,Canceled,10,0,-6.0,14,13
54,Canceled,10,0,-8.0,10,1
55,Served,13,5,0.0,16,1
56,Canceled,15,0,-6.0,23,4
57,Served,13,14,9.0,8,21
58,Canceled,14,0,-4.0,22,19
59,Canceled,10,0,-4.0,23,18
60,Served,14,11,5.0,6,20
61,Canceled,10,0,-5.0,24,19
62,Canceled,16,0,-5.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Canceled,10,0,-6.0,24,8
65,Canceled,10,0,-3.0,23,21
66,Canceled,10,0,-5.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
70,Canceled,10,0,-7.0,9,21
71,Canceled,16,0,-4.0,22,19
72,Served,16,3,0.0,17,20
73,Canceled,10,0,-8.0,3,18
74,Canceled,10,0,-1.0,6,2
75,Canceled,10,0,-6.0,16,4
76,Canceled,10,0,-4.0,14,17
77,Served,15,4,0.0,23,11
78,Canceled,10,0,-4.0,12,1
79,Canceled,10,0,-7.0,11,24
80,Canceled,10,0,-3.0,9,7
