Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Canceled,7,0,-7.0,10,13
2,Served,4,9,0.0,6,22
3,Served,4,26,23.0,17,8
4,Served,7,24,20.0,24,7
5,Served,0,6,0.0,11,8
6,Canceled,7,0,-2.0,22,20
7,Canceled,10,0,-4.0,14,3
8,Served,5,42,36.0,24,17
9,Served,7,11,6.0,18,2
10,Served,4,6,1.0,21,10
11,Canceled,10,0,-4.0,23,18
12,Served,5,6,0.0,9,19
13,Served,9,6,0.0,6,17
14,Served,3,10,9.0,20,21
15,Served,7,30,25.0,24,11
16,Served,9,16,12.0,12,1
17,Canceled,10,0,-8.0,22,5
18,Served,6,12,7.0,20,9
19,Served,9,23,19.0,10,22
20,Served,7,68,60.0,8,12
21,Served,7,5,0.0,23,19
22,Served,10,25,17.0,24,2
23,Served,4,5,0.0,17,2
24,Served,8,2,0.0,16,17
25,Canceled,10,0,-3.0,19,16
26,Served,12,9,0.0,5,23
27,Canceled,10,0,-3.0,22,10
28,Canceled,10,0,-7.0,21,4
29,Canceled,10,0,-5.0,24,11
30,Canceled,12,0,-6.0,12,2
31,Canceled,10,0,-4.0,22,13
32,Served,12,15,13.0,12,3
33,Served,8,32,23.0,5,24
34,Served,15,4,0.0,15,16
35,Served,11,24,19.0,10,18
36,Served,14,22,18.0,21,15
37,Canceled,10,0,-8.0,21,5
38,Canceled,10,0,-7.0,24,6
39,Canceled,10,0,-3.0,19,15
40,Canceled,10,0,-3.0,24,12
41,Canceled,10,0,-5.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Served,9,20,18.0,23,24
44,Canceled,10,0,-7.0,9,22
45,Canceled,10,0,-6.0,7,13
46,Served,15,34,32.0,18,21
47,Served,11,8,0.0,7,3
48,Served,8,35,31.0,22,17
49,Canceled,10,0,-6.0,9,1
50,Served,10,14,10.0,10,8
51,Served,15,19,16.0,14,4
52,Canceled,10,0,-3.0,19,15
53,Served,16,29,23.0,14,13
54,Canceled,10,0,-8.0,10,1
55,Served,16,5,0.0,16,1
56,Canceled,10,0,-6.0,23,4
57,Served,14,17,12.0,8,21
58,Canceled,10,0,-4.0,22,19
59,Canceled,10,0,-4.0,23,18
60,Canceled,10,0,-6.0,6,20
61,Canceled,10,0,-5.0,24,19
62,Canceled,10,0,-5.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Canceled,10,0,-6.0,24,8
65,Canceled,10,0,-3.0,23,21
66,Canceled,10,0,-5.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
69,Canceled,10,0,-4.0,17,15
70,Canceled,10,0,-7.0,9,21
71,Served,11,18,14.0,22,19
72,Canceled,10,0,-3.0,17,20
73,Canceled,10,0,-8.0,3,18
74,Canceled,10,0,-1.0,6,2
75,Served,15,6,0.0,16,4
76,Canceled,10,0,-4.0,14,17
77,Canceled,15,0,-4.0,23,11
78,Served,14,4,0.0,12,1
79,Served,11,7,0.0,11,24
80,Canceled,10,0,-3.0,9,7
