Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Served,6,7,0.0,10,13
2,Served,3,9,0.0,6,22
3,Served,4,3,0.0,17,8
4,Served,0,4,0.0,24,7
5,Served,7,12,6.0,11,8
6,Served,12,2,0.0,22,20
7,Canceled,10,0,-4.0,14,3
8,Served,11,8,2.0,24,17
9,Served,9,5,0.0,18,2
10,Served,6,8,3.0,21,10
11,Served,6,12,8.0,23,18
12,Served,13,26,20.0,9,19
13,Served,2,27,21.0,6,17
14,Canceled,10,0,-1.0,20,21
15,Canceled,10,0,-5.0,24,11
16,Served,8,12,8.0,12,1
17,Canceled,15,0,-8.0,22,5
18,Canceled,10,0,-5.0,20,9
19,Canceled,10,0,-4.0,10,22
20,Served,7,9,1.0,8,12
21,Served,10,5,0.0,23,19
22,Served,11,8,0.0,24,2
23,Canceled,10,0,-5.0,17,2
24,Canceled,10,0,-2.0,16,17
25,Canceled,10,0,-3.0,19,16
26,Served,15,9,0.0,5,23
27,Canceled,10,0,-3.0,22,10
28,Canceled,10,0,-7.0,21,4
29,Served,9,36,31.0,24,11
30,Served,12,13,7.0,12,2
31,Served,6,13,9.0,22,13
32,Served,7,30,28.0,12,3
33,Served,11,9,0.0,5,24
34,Served,4,4,0.0,15,16
35,Served,7,18,13.0,10,18
36,Canceled,10,0,-4.0,21,15
37,Served,12,8,0.0,21,5
38,Served,12,7,0.0,24,6
39,Served,13,17,14.0,19,15
40,Canceled,16,0,-3.0,24,12
41,Canceled,10,0,-5.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Canceled,10,0,-2.0,23,24
44,Canceled,10,0,-7.0,9,22
45,Canceled,10,0,-6.0,7,13
46,Served,13,2,0.0,18,21
47,Canceled,10,0,-8.0,7,3
48,Canceled,10,0,-4.0,22,17
49,Canceled,10,0,-6.0,9,1
50,Canceled,10,0,-4.0,10,8
51,Canceled,10,0,-3.0,14,4
52,Canceled,10,0,-3.0,19,15
53,Served,11,6,0.0,14,13
54,Served,14,8,0.0,10,1
55,Served,11,34,29.0,16,1
56,Canceled,10,0,-6.0,23,4
57,Canceled,10,0,-5.0,8,21
58,Canceled,10,0,-4.0,22,19
59,Canceled,10,0,-4.0,23,18
60,Canceled,10,0,-6.0,6,20
61,Canceled,10,0,-5.0,24,19
62,Served,11,20,15.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Canceled,10,0,-6.0,24,8
65,Served,12,15,12.0,23,21
66,Canceled,10,0,-5.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
69,Served,11,4,0.0,17,15
70,Canceled,10,0,-7.0,9,21
71,Canceled,10,0,-4.0,22,19
72,Served,12,13,10.0,17,20
73,Served,9,8,0.0,3,18
74,Canceled,15,0,-1.0,6,2
75,Canceled,10,0,-6.0,16,4
76,Canceled,10,0,-4.0,14,17
77,Canceled,10,0,-4.0,23,11
78,Canceled,10,0,-4.0,12,1
79,Served,11,7,0.0,11,24
80,Served,12,3,0.0,9,7
