Request ID,Status,Waiting Time,In-Vehicle Time,Detour Time,From Node,To Node
1,Served,6,18,11.0,10,13
2,Served,2,9,0.0,6,22
3,Served,1,3,0.0,17,8
4,Served,6,12,8.0,24,7
5,Served,7,7,1.0,11,8
6,Canceled,10,0,-2.0,22,20
7,Served,8,21,17.0,14,3
8,Served,8,6,0.0,24,17
9,Served,7,5,0.0,18,2
10,Served,5,15,10.0,21,10
11,Served,10,4,0.0,23,18
12,Canceled,10,0,-6.0,9,19
13,Served,8,33,27.0,6,17
14,Served,6,9,8.0,20,21
15,Canceled,10,0,-5.0,24,11
16,Canceled,10,0,-4.0,12,1
17,Served,13,10,2.0,22,5
18,Canceled,10,0,-5.0,20,9
19,Canceled,10,0,-4.0,10,22
20,Canceled,10,0,-8.0,8,12
21,Canceled,10,0,-5.0,23,19
22,Served,6,11,3.0,24,2
23,Served,8,11,6.0,17,2
24,Canceled,13,0,-2.0,16,17
25,Served,9,13,10.0,19,16
26,Served,9,9,0.0,5,23
27,Served,2,14,11.0,22,10
28,Served,3,7,0.0,21,4
29,Served,12,17,12.0,24,11
30,Canceled,10,0,-6.0,12,2
31,Canceled,10,0,-4.0,22,13
32,Canceled,10,0,-2.0,12,3
33,Served,12,9,0.0,5,24
34,Served,12,4,0.0,15,16
35,Served,7,5,0.0,10,18
36,Canceled,10,0,-4.0,21,15
37,Served,12,40,32.0,21,5
38,Canceled,10,0,-7.0,24,6
39,Canceled,10,0,-3.0,19,15
40,Canceled,10,0,-3.0,24,12
41,Served,12,5,0.0,20,6
42,Canceled,10,0,-5.0,20,15
43,Canceled,10,0,-2.0,23,24
44,Canceled,10,0,-7.0,9,22
45,Canceled,10,0,-6.0,7,13
46,Canceled,10,0,-2.0,18,21
47,Served,9,9,1.0,7,3
48,Canceled,10,0,-4.0,22,17
49,Served,11,17,11.0,9,1
50,Canceled,10,0,-4.0,10,8
51,Served,12,16,13.0,14,4
52,Served,8,27,24.0,19,15
53,Canceled,10,0,-6.0,14,13
54,Canceled,10,0,-8.0,10,1
55,Canceled,10,0,-5.0,16,1
56,Canceled,11,0,-6.0,23,4
57,Served,10,5,0.0,8,21
58,Canceled,10,0,-4.0,22,19
59,Served,9,5,1.0,23,18
60,Canceled,10,0,-6.0,6,20
61,Served,13,12,7.0,24,19
62,Served,9,30,25.0,14,19
63,Canceled,10,0,-9.0,23,2
64,Served,8,6,0.0,24,8
65,Served,8,3,0.0,23,21
66,Canceled,10,0,-5.0,12,9
67,Canceled,10,0,-8.0,15,1
68,Canceled,10,0,-6.0,19,12
69,Served,14,4,0.0,17,15
70,Served,15,7,0.0,9,21
71,Canceled,10,0,-4.0,22,19
72,Served,14,3,0.0,17,20
73,Canceled,10,0,-8.0,3,18
74,Canceled,10,0,-1.0,6,2
75,Canceled,10,0,-6.0,16,4
76,Canceled,10,0,-4.0,14,17
77,Canceled,15,0,-4.0,23,11
78,Canceled,10,0,-4.0,12,1
79,Canceled,10,0,-7.0,11,24
80,Served,9,3,0.0,9,7
