Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,1.3815773627356975e-06,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,0.06652486324310303,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,0.0003565965744201094,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,9.14418196182902,0.0,13,2,0,2,17,0
18,9.921959739606798,0.0,14,2,0,2,18,0
19,10.711433423817324,0.0,15,2,0,2,19,0
20,11.511433423817325,0.00811775028705597,16,2,0,2,20,0
21,12.320957233341135,0.0,17,2,0,2,21,0
22,13.139139051522953,0.0,18,2,0,2,22,0
23,13.139139051522953,0.0,18,3,0,2,23,0
24,13.93080571818962,0.0,19,3,0,2,24,0
25,13.93080571818962,0.003938887733966112,19,4,0,2,25,0
26,14.70003648742039,0.0,20,4,0,2,26,0
27,15.477814265198168,0.0,21,4,0,2,27,0
28,15.477814265198168,0.0,21,4,0,3,28,0
29,16.23643495485334,0.0,22,4,0,3,29,0
30,17.003101621520006,0.03696567192673683,23,4,0,3,30,0
31,17.003101621520006,0.0,23,4,0,4,31,0
32,17.003101621520006,0.0,23,4,0,5,32,0
33,17.003101621520006,0.0,23,4,0,6,33,0
34,17.003101621520006,0.0,23,5,0,6,34,0
35,17.003101621520006,0.018179167062044144,23,5,0,7,35,0
36,17.003101621520006,0.0,23,6,0,7,36,0
37,17.003101621520006,0.0,23,6,0,8,37,0
38,17.003101621520006,0.0,23,6,0,9,38,0
39,17.618486236904623,0.0,24,7,0,8,39,0
40,17.618486236904623,0.005789933726191521,24,7,0,9,40,0
41,17.618486236904623,0.0,24,7,0,10,41,0
42,17.618486236904623,0.0,24,8,0,10,42,0
43,17.618486236904623,0.0,24,9,0,10,43,0
44,17.618486236904623,0.0,24,10,0,10,44,0
45,18.751819570237956,0.005661927629262209,26,11,0,8,45,0
46,18.751819570237956,0.0,26,12,0,8,46,0
47,18.751819570237956,0.0,26,13,0,8,47,0
48,18.751819570237956,0.0,26,14,0,8,48,0
49,18.751819570237956,0.0,26,14,0,9,49,0
50,18.751819570237956,0.02606239728629589,26,14,0,10,50,0
51,18.751819570237956,0.0,26,14,0,10,50,0
52,18.751819570237956,0.0,26,15,0,9,50,0
53,18.751819570237956,0.0,26,16,0,8,50,0
54,18.751819570237956,0.0,26,17,0,7,50,0
55,18.751819570237956,0.002976706251502037,26,18,0,6,50,0
56,18.751819570237956,0.0,26,19,0,5,50,0
57,18.751819570237956,0.0,26,20,0,4,50,0
58,18.751819570237956,0.0,26,21,0,3,50,0
59,18.751819570237956,0.0,26,22,0,2,50,0
60,18.751819570237956,0.0002631871320772916,26,23,0,1,50,0
