Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,1.0,0.0,1,0,0,0,1,0
2,2.0,0.0,2,0,0,0,2,0
3,3.0,0.0,3,0,0,0,3,0
4,4.0,0.0,4,0,0,0,4,0
5,5.0,0.0007492406875826418,5,0,0,0,5,0
6,5.0,0.0,5,0,0,1,6,0
7,5.857142857142857,0.0,6,0,0,1,7,0
8,5.857142857142857,0.0,6,0,0,2,8,0
9,6.634920634920634,0.0,7,0,0,2,9,0
10,7.434920634920634,0.0016276822425425053,8,0,0,2,10,0
11,8.253102453102452,0.0,9,0,0,2,11,0
12,9.086435786435786,0.0,10,0,0,2,12,0
13,9.932589632589632,0.0,11,0,0,2,13,0
14,10.78973248973249,0.0,12,0,0,2,14,0
15,11.656399156399157,0.0003872470697388053,13,0,0,2,15,0
16,12.531399156399157,0.0,14,0,0,2,16,0
17,13.413752097575628,0.0,15,0,0,2,17,0
18,14.302640986464517,0.0,16,0,0,2,18,0
19,15.197377828569781,0.0,17,1,0,1,19,0
20,16.09737782856978,4.3078543967567384e-05,18,1,0,1,20,0
21,16.09737782856978,0.0,18,1,0,2,21,0
22,16.09737782856978,0.0,18,2,0,2,22,0
23,16.923464785091518,0.0,19,2,0,2,23,0
24,17.75679811842485,0.0,20,2,0,2,24,0
25,18.59679811842485,0.00842412281781435,21,2,0,2,25,0
26,19.442951964578697,0.0,22,2,0,2,26,0
27,20.294803816430548,0.0,23,2,0,2,27,0
28,21.151946673573406,0.0,24,2,0,2,28,0
29,21.151946673573406,0.0,24,2,0,3,29,0
30,21.985280006906738,7.213721255538985e-05,25,2,0,3,30,0
31,22.823989684326094,0.0,26,2,0,3,31,0
32,22.823989684326094,0.0,26,3,0,3,32,0
33,23.64217150250791,0.0,27,4,0,2,33,0
34,24.465700914272617,0.0,28,4,0,2,34,0
35,25.294272342844046,0.0009009747300297022,29,4,0,2,35,0
36,25.294272342844046,0.0,29,4,0,3,36,0
37,26.942920991492695,0.0,31,4,0,2,37,0
38,27.78502625465059,0.0,32,4,0,2,38,0
39,28.631180100804436,0.0,33,4,0,2,39,0
40,28.631180100804436,0.01361660286784172,33,5,0,2,40,0
41,28.631180100804436,0.0,33,5,0,3,41,0
42,28.631180100804436,0.0,33,5,0,4,42,0
43,28.631180100804436,0.0,33,6,0,4,43,0
44,29.40390737353171,0.0,34,6,0,4,44,0
45,29.40390737353171,0.024307793006300926,34,6,0,5,45,0
46,29.40390737353171,0.0,34,6,0,6,46,0
47,29.40390737353171,0.0,34,6,0,7,47,0
48,29.40390737353171,0.0,34,6,0,8,48,0
49,29.40390737353171,0.0,34,6,0,9,49,0
50,29.40390737353171,0.0011565907625481486,34,6,0,10,50,0
51,29.40390737353171,0.0,34,7,0,9,50,0
52,30.82390737353171,0.0,36,8,0,6,50,0
53,30.82390737353171,0.0,36,9,0,5,50,0
54,30.82390737353171,0.0,36,9,0,5,50,0
55,30.82390737353171,6.785754521843046e-05,36,10,0,4,50,0
56,30.82390737353171,0.0,36,11,0,3,50,0
57,30.82390737353171,0.0,36,11,0,3,50,0
58,30.82390737353171,0.0,36,11,0,3,50,0
59,30.82390737353171,0.0,36,12,0,2,50,0
60,30.82390737353171,0.0006855818792246282,36,13,0,1,50,0
