Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.003294110530987382,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,1.586354301252868e-07,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,0.0036882010754197836,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,9.14418196182902,0.0,13,2,0,2,17,0
18,9.921959739606798,0.0,14,2,0,2,18,0
19,10.711433423817324,0.0,15,2,0,2,19,0
20,11.511433423817325,0.022700825706124306,16,2,0,2,20,0
21,12.320957233341135,0.0,17,2,0,2,21,0
22,13.139139051522953,0.0,18,2,0,2,22,0
23,13.139139051522953,0.0,18,3,0,2,23,0
24,13.93080571818962,0.0,19,3,0,2,24,0
25,13.93080571818962,0.0010503496741876006,19,4,0,2,25,0
26,14.70003648742039,0.0,20,4,0,2,26,0
27,17.144480931864834,0.0,23,4,0,0,27,0
28,17.144480931864834,0.0,23,4,0,1,28,0
29,17.144480931864834,0.0,23,4,0,2,29,0
30,17.944480931864835,0.00042405351996421814,24,4,0,2,30,0
31,17.944480931864835,0.0,24,4,0,3,31,0
32,17.944480931864835,0.0,24,4,0,4,32,0
33,18.702056689440592,0.0,25,4,0,4,33,0
34,18.702056689440592,0.0,25,4,0,5,34,0
35,19.444913832297736,0.014254634268581867,26,4,0,5,35,0
36,19.444913832297736,0.0,26,4,0,6,36,0
37,19.444913832297736,0.0,26,4,0,7,37,0
38,19.444913832297736,0.0,26,4,0,8,38,0
39,20.13722152460543,0.0,27,5,0,7,39,0
40,20.13722152460543,0.019353898242115974,27,6,0,7,40,0
41,20.13722152460543,0.0,27,6,0,8,41,0
42,20.803888191272097,0.0,28,6,0,8,42,0
43,20.803888191272097,0.0,28,6,0,9,43,0
44,20.803888191272097,0.0,28,7,0,9,44,0
45,20.803888191272097,0.002360921585932374,28,8,0,9,45,0
46,20.803888191272097,0.0,28,9,0,9,46,0
47,20.803888191272097,0.0,28,10,0,9,47,0
48,20.803888191272097,0.0,28,11,0,9,48,0
49,20.803888191272097,0.0,28,12,0,9,49,0
50,20.803888191272097,0.007251202594488859,28,12,0,10,50,0
51,20.803888191272097,0.0,28,13,0,9,50,0
52,20.803888191272097,0.0,28,14,0,8,50,0
53,20.803888191272097,0.0,28,14,0,8,50,0
54,20.803888191272097,0.0,28,15,0,7,50,0
55,20.803888191272097,0.0022138378117233515,28,16,0,6,50,0
56,20.803888191272097,0.0,28,17,0,5,50,0
57,20.803888191272097,0.0,28,18,0,4,50,0
58,20.803888191272097,0.0,28,19,0,3,50,0
59,20.803888191272097,0.0,28,20,0,2,50,0
60,20.803888191272097,0.00265830778516829,28,21,0,1,50,0
