Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.0022794960532337427,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,0.00012822261487599462,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,7.681857031857032,0.0,11,2,0,1,14,0
15,7.681857031857032,0.002093889517709613,11,2,0,2,15,0
16,8.431857031857032,0.0,12,2,0,2,16,0
17,8.431857031857032,0.0,12,2,0,3,17,0
18,9.154079254079253,0.0,13,2,0,3,18,0
19,9.154079254079253,0.0,13,2,0,4,19,0
20,11.404079254079253,0.008223962970077991,16,2,0,2,20,0
21,12.213603063603063,0.0,17,2,0,2,21,0
22,13.031784881784882,0.0,18,2,0,2,22,0
23,13.031784881784882,0.0,18,3,0,2,23,0
24,13.823451548451548,0.0,19,3,0,2,24,0
25,14.623451548451548,0.00019648361194413155,20,3,0,2,25,0
26,14.623451548451548,0.0,20,4,0,2,26,0
27,15.401229326229327,0.0,21,4,0,2,27,0
28,16.18694361194361,0.0,22,4,0,2,28,0
29,16.980047060219473,0.0,23,4,0,2,29,0
30,17.780047060219474,1.8083937902702019e-07,24,4,0,2,30,0
31,17.780047060219474,0.0,24,4,0,3,31,0
32,17.780047060219474,0.0,24,4,0,4,32,0
33,17.780047060219474,0.0,24,4,0,5,33,0
34,17.780047060219474,0.0,24,5,0,5,34,0
35,17.780047060219474,0.02656892128288746,24,5,0,6,35,0
36,17.780047060219474,0.0,24,5,0,7,36,0
37,17.780047060219474,0.0,24,6,0,7,37,0
38,17.780047060219474,0.0,24,6,0,8,38,0
39,18.421072701245116,0.0,25,6,0,8,39,0
40,18.421072701245116,0.0004972549504600465,25,6,0,9,40,0
41,18.421072701245116,0.0,25,6,0,10,41,0
42,19.040120320292736,0.0,26,7,0,9,42,0
43,20.319190087734597,0.0,28,7,0,8,43,0
44,20.319190087734597,0.0,28,7,0,9,44,0
45,20.319190087734597,0.11022139340639114,28,7,0,10,45,0
46,20.319190087734597,0.0,28,8,0,10,46,0
47,20.319190087734597,0.0,28,9,0,10,47,0
48,20.319190087734597,0.0,28,10,0,10,48,0
49,21.52327172038766,0.0,30,11,0,8,49,0
50,21.52327172038766,0.00014933526108507067,30,11,0,9,50,0
51,21.52327172038766,0.0,30,11,0,9,50,0
52,21.52327172038766,0.0,30,11,0,9,50,0
53,21.52327172038766,0.0,30,12,0,8,50,0
54,21.52327172038766,0.0,30,13,0,7,50,0
55,21.52327172038766,0.004856527782976627,30,14,0,6,50,0
56,21.52327172038766,0.0,30,15,0,5,50,0
57,22.78327172038766,0.0,32,16,0,2,50,0
58,23.44327172038766,0.0,33,16,0,1,50,0
59,23.44327172038766,0.0,33,16,0,1,50,0
60,23.44327172038766,0.009602651931345463,33,16,0,1,50,0
