Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,5.542915823752992e-05,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,1.4130368072073907e-05,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,0.004611082375049591,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,9.14418196182902,0.0,13,2,0,2,17,0
18,9.921959739606798,0.0,14,2,0,2,18,0
19,10.711433423817324,0.0,15,2,0,2,19,0
20,11.511433423817325,0.0009634573943912983,16,2,0,2,20,0
21,12.320957233341135,0.0,17,2,0,2,21,0
22,13.139139051522953,0.0,18,2,0,2,22,0
23,13.139139051522953,0.0,18,3,0,2,23,0
24,13.93080571818962,0.0,19,3,0,2,24,0
25,13.93080571818962,0.0041822162456810474,19,4,0,2,25,0
26,14.70003648742039,0.0,20,4,0,2,26,0
27,15.477814265198168,0.0,21,4,0,2,27,0
28,15.477814265198168,0.0,21,4,0,3,28,0
29,15.477814265198168,0.0,21,4,0,4,29,0
30,16.97781426519817,2.1880654458072968e-05,23,4,0,3,30,0
31,18.558459426488493,0.0,25,4,0,2,31,0
32,19.370959426488493,0.0,26,4,0,2,32,0
33,19.370959426488493,0.0,26,4,0,3,33,0
34,20.165077073547316,0.0,27,5,0,2,34,0
35,20.965077073547317,0.0001882545038824901,28,5,0,2,35,0
36,20.965077073547317,0.0,28,6,0,2,36,0
37,20.965077073547317,0.0,28,6,0,3,37,0
38,20.965077073547317,0.0,28,6,0,4,38,0
39,21.70866681713706,0.0,29,6,0,4,39,0
40,22.45866681713706,0.001756355632096529,30,6,0,4,40,0
41,23.99525218299072,0.0,32,6,0,3,41,0
42,24.780966468705003,0.0,33,6,0,3,42,0
43,24.780966468705003,0.0,33,6,0,4,43,0
44,24.780966468705003,0.0,33,7,0,4,44,0
45,24.780966468705003,0.02166879177093506,33,7,0,5,45,0
46,24.780966468705003,0.0,33,7,0,6,46,0
47,24.780966468705003,0.0,33,8,0,6,47,0
48,24.780966468705003,0.0,33,8,0,7,48,0
49,25.47484401972541,0.0,34,9,0,6,49,0
50,25.47484401972541,7.695177373534534e-06,34,9,0,7,50,0
51,25.47484401972541,0.0,34,9,0,7,50,0
52,25.47484401972541,0.0,34,9,0,7,50,0
53,25.47484401972541,0.0,34,9,0,7,50,0
54,25.47484401972541,0.0,34,10,0,6,50,0
55,25.47484401972541,0.06475257873535156,34,11,0,5,50,0
56,25.47484401972541,0.0,34,12,0,4,50,0
57,25.47484401972541,0.0,34,13,0,3,50,0
58,25.47484401972541,0.0,34,14,0,2,50,0
59,25.47484401972541,0.0,34,15,0,1,50,0
60,25.47484401972541,0.023093542084097862,34,15,0,1,50,0
