Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.00129686517175287,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,0.041042301803827286,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,7.681857031857032,0.0,11,2,0,1,14,0
15,7.681857031857032,0.0021916364785283804,11,2,0,2,15,0
16,8.431857031857032,0.0,12,2,0,2,16,0
17,9.196562914209974,0.0,13,2,0,2,17,0
18,9.196562914209974,0.0,13,2,0,3,18,0
19,9.933405019473131,0.0,14,2,0,3,19,0
20,11.483405019473132,7.280782938323682e-06,16,2,0,2,20,0
21,12.292928828996942,0.0,17,2,0,2,21,0
22,12.292928828996942,0.0,17,2,0,3,22,0
23,12.292928828996942,0.0,17,3,0,3,23,0
24,13.042928828996942,0.0,18,3,0,3,24,0
25,13.802928828996942,4.0874092519516125e-05,19,3,0,3,25,0
26,13.802928828996942,0.0,19,4,0,3,26,0
27,14.543669569737682,0.0,20,4,0,3,27,0
28,14.543669569737682,0.0,20,4,0,4,28,0
29,15.267807500772165,0.0,21,4,0,4,29,0
30,16.767807500772165,0.0013270998606458306,23,4,0,3,30,0
31,16.767807500772165,0.0,23,4,0,4,31,0
32,17.517807500772165,0.0,24,4,0,4,32,0
33,17.517807500772165,0.0,24,5,0,4,33,0
34,17.517807500772165,0.0,24,6,0,4,34,0
35,18.23209321505788,0.00010212517372565344,25,6,0,4,35,0
36,19.7043154372801,0.0,27,6,0,3,36,0
37,19.7043154372801,0.0,27,7,0,3,37,0
38,19.7043154372801,0.0,27,7,0,4,38,0
39,21.16585389881856,0.0,29,7,0,3,39,0
40,21.16585389881856,0.053698256611824036,29,7,0,4,40,0
41,21.16585389881856,0.0,29,7,0,5,41,0
42,21.880139613104276,0.0,30,7,0,5,42,0
43,21.880139613104276,0.0,30,8,0,5,43,0
44,21.880139613104276,0.0,30,9,0,5,44,0
45,21.880139613104276,0.009657842107117176,30,9,0,6,45,0
46,21.880139613104276,0.0,30,9,0,7,46,0
47,21.880139613104276,0.0,30,9,0,8,47,0
48,21.880139613104276,0.0,30,9,0,9,48,0
49,22.512792674328765,0.0,31,10,0,8,49,0
50,22.512792674328765,0.04931413754820824,31,10,0,9,50,0
51,22.512792674328765,0.0,31,11,0,8,50,0
52,22.512792674328765,0.0,31,12,0,7,50,0
53,22.512792674328765,0.0,31,12,0,7,50,0
54,22.512792674328765,0.0,31,13,0,6,50,0
55,22.512792674328765,0.0005054231151007116,31,14,0,5,50,0
56,22.512792674328765,0.0,31,15,0,4,50,0
57,22.512792674328765,0.0,31,16,0,3,50,0
58,22.512792674328765,0.0,31,17,0,2,50,0
59,22.512792674328765,0.0,31,18,0,1,50,0
60,22.512792674328765,0.0006562774651683867,31,18,0,1,50,0
