Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.0004461166390683502,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,1.7522931716751344e-10,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,0.004973760340362787,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,9.14418196182902,0.0,13,2,0,2,17,0
18,9.921959739606798,0.0,14,2,0,2,18,0
19,10.711433423817324,0.0,15,2,0,2,19,0
20,11.511433423817325,0.013517561368644238,16,2,0,2,20,0
21,11.511433423817325,0.0,16,2,0,3,21,0
22,13.102342514726416,0.0,18,2,0,2,22,0
23,13.102342514726416,0.0,18,3,0,2,23,0
24,13.894009181393082,0.0,19,3,0,2,24,0
25,13.894009181393082,0.04135064780712128,19,4,0,2,25,0
26,13.894009181393082,0.0,19,4,0,3,26,0
27,14.634749922133823,0.0,20,4,0,3,27,0
28,14.634749922133823,0.0,20,4,0,4,28,0
29,14.634749922133823,0.0,20,4,0,5,29,0
30,15.334749922133822,0.00010032136924564838,21,4,0,5,30,0
31,17.560556373746724,0.0,24,4,0,3,31,0
32,18.341806373746724,0.0,25,4,0,3,32,0
33,19.129685161625513,0.0,26,4,0,3,33,0
34,19.129685161625513,0.0,26,4,0,4,34,0
35,19.129685161625513,6.204782403074205e-05,26,4,0,5,35,0
36,19.129685161625513,0.0,26,5,0,5,36,0
37,19.129685161625513,0.0,26,6,0,5,37,0
38,19.129685161625513,0.0,26,6,0,6,38,0
39,19.821992853933207,0.0,27,6,0,6,39,0
40,19.821992853933207,0.0006459702854044735,27,6,0,7,40,0
41,19.821992853933207,0.0,27,6,0,8,41,0
42,20.488659520599874,0.0,28,6,0,8,42,0
43,20.488659520599874,0.0,28,6,0,9,43,0
44,20.488659520599874,0.0,28,7,0,9,44,0
45,20.488659520599874,0.00030769160366617143,28,8,0,9,45,0
46,20.488659520599874,0.0,28,9,0,9,46,0
47,20.488659520599874,0.0,28,10,0,9,47,0
48,20.488659520599874,0.0,28,11,0,9,48,0
49,20.488659520599874,0.0,28,12,0,9,49,0
50,20.488659520599874,0.0025950155686587095,28,12,0,10,50,0
51,20.488659520599874,0.0,28,13,0,9,50,0
52,20.488659520599874,0.0,28,14,0,8,50,0
53,20.488659520599874,0.0,28,14,0,8,50,0
54,20.488659520599874,0.0,28,15,0,7,50,0
55,20.488659520599874,0.05607513710856438,28,16,0,6,50,0
56,20.488659520599874,0.0,28,17,0,5,50,0
57,21.068659520599873,0.0,29,18,0,3,50,0
58,21.068659520599873,0.0,29,19,0,2,50,0
59,21.068659520599873,0.0,29,20,0,1,50,0
60,21.068659520599873,0.008317437954246998,29,21,0,0,50,0
