Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.004169108811765909,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,3.100034882663749e-05,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,4.688484114012681e-05,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,8.37947607947608,0.0,12,2,0,3,17,0
18,9.87947607947608,0.0,14,2,0,2,18,0
19,10.668949763686605,0.0,15,2,0,2,19,0
20,11.468949763686606,0.002147424966096878,16,2,0,2,20,0
21,12.278473573210416,0.0,17,2,0,2,21,0
22,13.096655391392234,0.0,18,2,0,2,22,0
23,13.096655391392234,0.0,18,3,0,2,23,0
24,13.8883220580589,0.0,19,3,0,2,24,0
25,13.8883220580589,2.027052869379986e-05,19,4,0,2,25,0
26,13.8883220580589,0.0,19,4,0,3,26,0
27,15.40684057657742,0.0,21,4,0,2,27,0
28,15.40684057657742,0.0,21,4,0,3,28,0
29,16.958564714508455,0.0,23,4,0,2,29,0
30,17.758564714508456,0.005338738206773996,24,4,0,2,30,0
31,17.758564714508456,0.0,24,4,0,3,31,0
32,18.539814714508456,0.0,25,4,0,3,32,0
33,19.327693502387245,0.0,26,4,0,3,33,0
34,20.121811149446067,0.0,27,4,0,3,34,0
35,20.921811149446068,0.0011909371241927147,28,4,0,3,35,0
36,21.727366705001625,0.0,29,4,0,3,36,0
37,23.376015353650274,0.0,31,4,0,2,37,0
38,23.376015353650274,0.0,31,4,0,3,38,0
39,24.196528174163095,0.0,32,4,0,3,39,0
40,20.057891810526733,0.21880054473876953,33,4,1,3,40,0
41,20.88716010320966,0.0,34,4,0,3,41,0
42,21.72049343654299,0.0,35,4,0,3,42,0
43,22.557702738868574,0.0,36,4,0,3,43,0
44,25.148611829777664,0.0,39,4,0,1,44,0
45,25.148611829777664,8.645141497254372e-05,39,4,0,2,45,0
46,25.148611829777664,0.0,39,4,0,3,46,0
47,25.999675659564897,0.0,40,4,0,3,47,0
48,26.853842326231565,0.0,41,4,0,3,48,0
49,28.588536203782585,0.0,43,4,0,2,49,0
50,30.368536203782586,0.02855580486357212,45,4,0,1,50,0
51,30.368536203782586,0.0,45,4,0,1,50,0
52,30.368536203782586,0.0,45,4,0,1,50,0
53,30.368536203782586,0.0,45,4,0,1,50,0
54,30.368536203782586,0.0,45,4,0,1,50,0
55,30.368536203782586,0.0009547158260829747,45,4,0,1,50,0
56,30.368536203782586,0.0,45,4,0,1,50,0
57,30.368536203782586,0.0,45,4,0,1,50,0
58,30.368536203782586,0.0,45,4,0,1,50,0
59,30.368536203782586,0.0,45,5,0,0,50,0
60,30.368536203782586,2.643442712724209e-06,45,5,0,0,50,0
