Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,1.0,0.0,1,0,0,0,1,0
2,2.0,0.0,2,0,0,0,2,0
3,3.0,0.0,3,0,0,0,3,0
4,4.0,0.0,4,0,0,0,4,0
5,5.0,0.0012536547146737576,5,0,0,0,5,0
6,5.0,0.0,5,0,0,1,6,0
7,5.857142857142857,0.0,6,0,0,1,7,0
8,5.857142857142857,0.0,6,0,0,2,8,0
9,6.634920634920634,0.0,7,0,0,2,9,0
10,7.434920634920634,1.9935368982260115e-05,8,0,0,2,10,0
11,8.253102453102452,0.0,9,0,0,2,11,0
12,9.086435786435786,0.0,10,0,0,2,12,0
13,9.932589632589632,0.0,11,0,0,2,13,0
14,10.78973248973249,0.0,12,0,0,2,14,0
15,10.78973248973249,0.005639304872602224,12,0,0,3,15,0
16,11.60223248973249,0.0,13,0,0,3,16,0
17,11.60223248973249,0.0,13,1,0,3,17,0
18,12.380010267510269,0.0,14,1,0,3,18,0
19,12.380010267510269,0.0,14,2,0,3,19,0
20,13.130010267510269,0.0003010149230249226,15,2,0,3,20,0
21,13.891915029415031,0.0,16,2,0,3,21,0
22,15.482824120324121,0.0,18,2,0,2,22,0
23,15.482824120324121,0.0,18,2,0,3,23,0
24,16.27449078699079,0.0,19,2,0,3,24,0
25,17.91449078699079,0.0017200610600411892,21,2,0,2,25,0
26,17.91449078699079,0.0,21,3,0,2,26,0
27,17.91449078699079,0.0,21,3,0,3,27,0
28,19.521633644133647,0.0,23,3,0,2,28,0
29,20.3492198510302,0.0,24,3,0,2,29,0
30,20.3492198510302,0.00878828577697277,24,3,0,3,30,0
31,20.3492198510302,0.0,24,3,0,4,31,0
32,20.3492198510302,0.0,24,3,0,5,32,0
33,20.3492198510302,0.0,24,3,0,6,33,0
34,20.3492198510302,0.0,24,3,0,7,34,0
35,20.3492198510302,2.756026105998899e-06,24,3,0,8,35,0
36,22.515886517696867,0.0,27,3,0,6,36,0
37,22.515886517696867,0.0,27,4,0,6,37,0
38,22.515886517696867,0.0,27,5,0,6,38,0
39,23.97742497923533,0.0,29,5,0,5,39,0
40,23.97742497923533,0.005460008513182402,29,5,0,6,40,0
41,23.97742497923533,0.0,29,5,0,7,41,0
42,24.691710693521046,0.0,30,5,0,7,42,0
43,24.691710693521046,0.0,30,5,0,8,43,0
44,24.691710693521046,0.0,30,5,0,9,44,0
45,24.691710693521046,0.00493424478918314,30,6,0,9,45,0
46,24.691710693521046,0.0,30,6,0,10,46,0
47,24.691710693521046,0.0,30,6,0,11,47,0
48,24.691710693521046,0.0,30,7,0,11,48,0
49,24.691710693521046,0.0,30,8,0,11,49,0
50,24.691710693521046,0.0024103252217173576,30,9,0,11,50,0
51,24.691710693521046,0.0,30,10,0,10,50,0
52,26.611710693521047,0.0,33,11,0,6,50,0
53,26.611710693521047,0.0,33,12,0,5,50,0
54,26.611710693521047,0.0,33,13,0,4,50,0
55,26.611710693521047,0.1674317568540573,33,13,0,4,50,0
56,26.611710693521047,0.0,33,13,0,4,50,0
57,26.611710693521047,0.0,33,13,0,4,50,0
58,26.611710693521047,0.0,33,14,0,3,50,0
59,26.611710693521047,0.0,33,15,0,2,50,0
60,26.611710693521047,0.00864072609692812,33,16,0,1,50,0
