Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,0.0,0.0,0,0,0,1,1,0
2,0.5,0.0,1,0,0,1,2,0
3,0.5,0.0,1,0,0,2,3,0
4,1.0,0.0,2,0,0,2,4,0
5,1.6,0.0031652767211198807,3,0,0,2,5,0
6,2.2666666666666666,0.0,4,0,0,2,6,0
7,2.980952380952381,0.0,5,0,0,2,7,0
8,3.730952380952381,0.0,6,0,0,2,8,0
9,4.508730158730159,0.0,7,0,0,2,9,0
10,5.3087301587301585,0.0002719179028645158,8,0,0,2,10,0
11,6.126911976911977,0.0,9,0,0,2,11,0
12,6.126911976911977,0.0,9,1,0,2,12,0
13,6.896142746142746,0.0,10,1,0,2,13,0
14,6.896142746142746,0.0,10,2,0,2,14,0
15,7.629476079476079,0.0048483372665941715,11,2,0,2,15,0
16,8.37947607947608,0.0,12,2,0,2,16,0
17,9.14418196182902,0.0,13,2,0,2,17,0
18,9.921959739606798,0.0,14,2,0,2,18,0
19,10.711433423817324,0.0,15,2,0,2,19,0
20,11.511433423817325,0.0008200788288377225,16,2,0,2,20,0
21,12.320957233341135,0.0,17,2,0,2,21,0
22,13.139139051522953,0.0,18,2,0,2,22,0
23,13.139139051522953,0.0,18,3,0,2,23,0
24,13.93080571818962,0.0,19,3,0,2,24,0
25,13.93080571818962,0.001556628500111401,19,4,0,2,25,0
26,15.507728795112696,0.0,21,4,0,1,26,0
27,16.32254360992751,0.0,22,4,0,1,27,0
28,16.32254360992751,0.0,22,4,0,2,28,0
29,16.32254360992751,0.0,22,4,0,3,29,0
30,17.089210276594176,0.0008370797149837017,23,4,0,3,30,0
31,17.863403824981273,0.0,24,4,0,3,31,0
32,17.863403824981273,0.0,24,4,0,4,32,0
33,17.863403824981273,0.0,24,4,0,5,33,0
34,19.363403824981273,0.0,26,4,0,4,34,0
35,19.363403824981273,7.373654079856351e-05,26,4,0,5,35,0
36,19.363403824981273,0.0,26,4,0,6,36,0
37,19.363403824981273,0.0,26,5,0,6,37,0
38,19.363403824981273,0.0,26,5,0,7,38,0
39,20.055711517288966,0.0,27,6,0,6,39,0
40,20.055711517288966,1.6708023409250927e-08,27,6,0,7,40,0
41,20.055711517288966,0.0,27,6,0,8,41,0
42,20.722378183955634,0.0,28,6,0,8,42,0
43,20.722378183955634,0.0,28,6,0,9,43,0
44,20.722378183955634,0.0,28,7,0,9,44,0
45,20.722378183955634,1.4602577721234411e-05,28,8,0,9,45,0
46,20.722378183955634,0.0,28,9,0,9,46,0
47,20.722378183955634,0.0,28,10,0,9,47,0
48,20.722378183955634,0.0,28,11,0,9,48,0
49,20.722378183955634,0.0,28,12,0,9,49,0
50,20.722378183955634,0.004280504304915667,28,12,0,10,50,0
51,20.722378183955634,0.0,28,13,0,9,50,0
52,20.722378183955634,0.0,28,14,0,8,50,0
53,20.722378183955634,0.0,28,14,0,8,50,0
54,20.722378183955634,0.0,28,15,0,7,50,0
55,20.722378183955634,0.0003350024053361267,28,16,0,6,50,0
56,20.722378183955634,0.0,28,17,0,5,50,0
57,20.722378183955634,0.0,28,18,0,4,50,0
58,20.722378183955634,0.0,28,19,0,3,50,0
59,20.722378183955634,0.0,28,20,0,2,50,0
60,20.722378183955634,0.02335222251713276,28,21,0,1,50,0
